config_id,selected_candidate,direction,max_hold_bars_15m,max_hold_hours,raw_trigger_count,favorable_trades,favorable_mean,favorable_median,favorable_win_rate,favorable_total_compound,favorable_max_drawdown,favorable_standard_error,favorable_p01,favorable_worst,favorable_mean_holding_hours,favorable_mean_2021,favorable_mean_2022,favorable_mean_2023,base_trades,base_mean,base_median,base_win_rate,base_total_compound,base_max_drawdown,base_standard_error,base_p01,base_worst,base_mean_holding_hours,base_mean_2021,base_mean_2022,base_mean_2023,stress_trades,stress_mean,stress_median,stress_win_rate,stress_total_compound,stress_max_drawdown,stress_standard_error,stress_p01,stress_worst,stress_mean_holding_hours,stress_mean_2021,stress_mean_2022,stress_mean_2023
LONG:HOLD:16,True,LONG,16,4.0,15401,2356,-0.0015952611705213552,-0.0037475125161520705,0.3408319185059423,-0.9788882213154793,-0.9817907191400572,0.00018663376612978953,-0.021360108544165608,-0.03499728996310635,2.0262945670628185,-0.001949999371694163,-0.0015192931194701613,-0.0012684007421777783,1669,-0.003339519668940978,-0.00657071993445259,0.2834032354703415,-0.9965464041396602,-0.9968852471446608,0.0002475335535779007,-0.024194355257550062,-0.03577136640248764,1.9949370880766926,-0.0036006609512907847,-0.00327750555152166,-0.0028308901816887027,1198,-0.004163378806990958,-0.008155453316309598,0.2879799666110184,-0.9937390996768422,-0.9942891264342695,0.00032371715045552863,-0.025997627618320748,-0.036255813917100935,2.041151919866444,-0.004491550837661958,-0.0039195504441523945,-0.0031365777570040655
LONG:HOLD:32,True,LONG,32,8.0,15392,2228,-0.001659278372630701,-0.004261251879193996,0.33258527827648116,-0.9778690880164037,-0.9809443536723407,0.00021155652084213456,-0.022641224132981436,-0.06422650140787182,2.6900882704967084,-0.0018795394599998465,-0.0017027525847266838,-0.0013844193522492682,1579,-0.003373292897156208,-0.006924615595003396,0.27675744141861935,-0.9956279370686748,-0.9958845973828466,0.00027909264452118034,-0.024869460035641312,-0.06497718980048807,2.728224614735064,-0.0034946401203693363,-0.0034119044603761702,-0.0030538126390879865,1138,-0.004357767432743846,-0.008618201006107988,0.26449912126537783,-0.9936289026603767,-0.9939822778684693,0.00036429568528486644,-0.027127029676278964,-0.06544701978587325,2.816652021089631,-0.004709028482767267,-0.004146836943894172,-0.0032302720326634927
LONG:HOLD:4,False,LONG,4,1.0,15401,2956,-0.001547106316277386,-0.002165225589540338,0.3135994587280108,-0.9903663579577447,-0.9906637755118372,0.0001226234557329327,-0.016985816982970157,-0.03454116081544059,0.8100191700496165,-0.0019098768325004714,-0.0013944219792957357,-0.0012274040654452957,2049,-0.0032467817287371464,-0.004194623893670796,0.25866276232308444,-0.9987941904327045,-0.9988104520176273,0.0001647327061489392,-0.020345312426296818,-0.0353156022311353,0.8006995282251504,-0.0036735435709825794,-0.002844086532516099,-0.00271761889068012,1480,-0.00431217138984526,-0.005226978291514858,0.23986486486486486,-0.9984094129731568,-0.9984122504537941,0.00020852276017284337,-0.022211437379089947,-0.03580027785594459,0.8117117117117117,-0.004773584129799046,-0.0036351765536073066,-0.003356466450586178
LONG:HOLD:8,True,LONG,8,2.0,15401,2596,-0.0015703354952389774,-0.002875296195185678,0.33859784283513095,-0.9844428530846816,-0.9848576137142403,0.00015739636935537988,-0.019289510706869958,-0.04048824990850978,1.3446135079609656,-0.001996173964224916,-0.0014480945391232706,-0.0011802750051638315,1824,-0.0032841907291155446,-0.0056558870633817235,0.28728070175438597,-0.9976957202062777,-0.997743406171995,0.00020896298925042003,-0.021936904789897772,-0.0420568130212055,1.3185489766081873,-0.003732336819216547,-0.0030096883080823196,-0.0025942289947710074,1314,-0.004361217015897141,-0.007582394330179954,0.2800608828006088,-0.9969878950768467,-0.9970165426349858,0.000267408430070073,-0.02363235676317572,-0.043037164966640375,1.3422628107559615,-0.0047831363081011925,-0.003937855771255771,-0.0032094393220670494
LONG:HOLD:96,False,LONG,96,24.0,15380,2089,-0.0016520895262365474,-0.004475642887387828,0.32264241263762566,-0.9718564694289051,-0.9752106408884043,0.00023144785085127916,-0.022388985255934964,-0.06422650140787182,3.5088319770224987,-0.0018725387861663852,-0.0017378339956174312,-0.001348655083196876,1499,-0.003376923966674254,-0.007054227910854382,0.2541694462975317,-0.9943316671645832,-0.9948341001281515,0.000302109139206813,-0.024389700289336708,-0.06497718980048807,3.634311763397821,-0.003440160349381819,-0.003494969131093121,-0.003078341930087825,1090,-0.004379404582318971,-0.008718120772837856,0.23761467889908258,-0.9923673989052824,-0.9930046224240257,0.0003923696184594425,-0.027781907971836804,-0.06544701978587325,3.7389143730886847,-0.004608771486088286,-0.004339813243300841,-0.0034679574113455646
SHORT:HOLD:16,True,SHORT,16,4.0,13682,2248,-0.0016640841458357674,-0.004036045592456737,0.34252669039145905,-0.9790012106223942,-0.9790123626590438,0.00021752894329352942,-0.024561774155196017,-0.05910849386129224,1.970670225385528,-0.0022343342911577166,-0.0012145920258385798,-0.0014756963342237826,1666,-0.003587899238861461,-0.006859797906407237,0.2893157262905162,-0.9977429411554262,-0.9977429411554262,0.0002757173797407322,-0.026627339430750692,-0.05995369107287469,1.873889555822329,-0.00415439573666405,-0.0030001382085393337,-0.0032714555898163532,1249,-0.004972382150286469,-0.008811610958830474,0.2690152121697358,-0.9982043062299779,-0.9982085682969465,0.0003512631328361777,-0.03125187757716013,-0.05998213597451954,1.8038430744595677,-0.005492207377520777,-0.003967422156614119,-0.00556048945851318
SHORT:HOLD:32,True,SHORT,32,8.0,13682,2154,-0.001788776086198681,-0.004479472836753323,0.33658310120705665,-0.9814674070124352,-0.9815952375006384,0.00023870785531717302,-0.025335638706216225,-0.05910849386129224,2.566117301145156,-0.0026316461068433992,-0.0011812009754214323,-0.0014438866766969805,1602,-0.0037232472962881237,-0.00730892705254214,0.27902621722846443,-0.9977390848045748,-0.9977390848045748,0.000301132459116781,-0.027083740163551397,-0.05995369107287469,2.452496878901373,-0.004451217834718247,-0.002954808337276424,-0.0033665222199953395,1198,-0.0050514374005132725,-0.009097472073388081,0.24624373956594323,-0.9979148814641903,-0.9979394929244917,0.00038438967240336536,-0.03163217062548265,-0.05998213597451954,2.3452420701168615,-0.005709434268404393,-0.003822281433806355,-0.0056321635984515886
SHORT:HOLD:4,False,SHORT,4,1.0,13683,2729,-0.0018437959946405234,-0.0023333383468870563,0.31366801026016855,-0.9940448729460262,-0.9940854563928998,0.00015287146348991155,-0.0227403718076987,-0.05910849386129224,0.8070966165872726,-0.0024829130671220226,-0.001515452253690261,-0.0013531606447876655,1981,-0.0036864815506483448,-0.004794267014953132,0.2579505300353357,-0.9993858029994823,-0.9993858029994823,0.00019998892761211202,-0.026619157190101987,-0.05995369107287469,0.781095406360424,-0.004200246499010789,-0.003231956180509004,-0.0031205286424493663,1484,-0.005051007878896982,-0.00659642371750649,0.22506738544474394,-0.9994928704635982,-0.9994928704635982,0.00025512597135973666,-0.028226886582603396,-0.05998213597451954,0.765947888589398,-0.005489378495856787,-0.0043607401141102665,-0.004852611536321305
SHORT:HOLD:8,True,SHORT,8,2.0,13682,2456,-0.0017652673942062651,-0.0031884946813322563,0.33876221498371334,-0.9883109040695801,-0.9884226596220087,0.00019084721122395365,-0.024558998533535097,-0.05910849386129224,1.3218716069489684,-0.0023062597538126657,-0.0014406431933361259,-0.0014394492523153292,1791,-0.0036062172839822076,-0.006197808293306225,0.28754885538805136,-0.9985963221891944,-0.9985963221891944,0.0002472949436451693,-0.026806141567577838,-0.05995369107287469,1.259361622929462,-0.004139934697412372,-0.0031432553230429723,-0.0030770209134743697,1348,-0.004909210504358362,-0.00819470008176527,0.26186943620178044,-0.9987984125675412,-0.9988033214491788,0.00031461831410247094,-0.028812902455774475,-0.05998213597451954,1.2163081107814047,-0.005345849843603453,-0.00415605711519065,-0.005096805377939329
SHORT:HOLD:96,False,SHORT,96,24.0,13679,2051,-0.0017521916663891786,-0.004671337409619674,0.333495855680156,-0.9760249084958701,-0.9764333897565592,0.00025277184736596006,-0.025580615372313827,-0.05910849386129224,3.190451812124167,-0.0026106020966145047,-0.0010833704839183639,-0.0014447101612051504,1548,-0.0037186753396627535,-0.007414318146064209,0.27648578811369506,-0.9972225126166052,-0.9972340644704188,0.0003154501608372301,-0.02717954883799974,-0.05995369107287469,3.0722006890611544,-0.004479703538237046,-0.0029145142271084046,-0.0033106207939365873,1163,-0.0049817041484940105,-0.009142020835524968,0.23903697334479793,-0.9973058987524753,-0.9973376982711899,0.00040081479379409956,-0.031712547521233404,-0.05998213597451954,2.9302808827744338,-0.005657705930186752,-0.0037258986002734313,-0.00550568176524678
